phase,mode,batch,query,type,runs,exec_min,exec_p25,exec_median,exec_p75,exec_max,plan_min,plan_p25,plan_median,plan_p75,plan_max,plan_shape,indexes_used,top_plan_rows,top_actual_rows,scan_plan_rows,scan_actual_rows,shared_hit_blocks,shared_read_blocks,exact_heap_blocks,lossy_heap_blocks,rows_removed_by_index_recheck,planning_shared_hit_blocks,jit_present,settings,detail_execution_ms
I-0,default,2,Q11b,json,15,161.322,168.585,171.537,183.527,193.719,0.034,0.037,0.045,0.052,0.054,Seq Scan on T,-,25,3064,25,3064,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",169.651
I-0,default,2,Q11b,jsonb,15,18.496,19.171,19.695,20.662,26.448,0.03,0.035,0.049,0.051,0.087,Seq Scan on T,-,25,3064,25,3064,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",20.438
I-0,default,2,Q12a,json,15,137.641,141.432,146.686,154.466,163.87,0.029,0.031,0.046,0.048,0.179,Seq Scan on T,-,25,13,25,13,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",165.388
I-0,default,2,Q12a,jsonb,15,14.492,14.789,15.256,16.273,18.578,0.025,0.026,0.044,0.046,0.048,Seq Scan on T,-,25,13,25,13,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",15.265
I-0,default,2,Q12b,json,15,138.58,146.221,149.318,159.952,161.956,0.029,0.033,0.037,0.046,0.047,Seq Scan on T,-,25,108,25,108,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",145.341
I-0,default,2,Q12b,jsonb,15,14.284,14.769,15.045,15.367,18.306,0.025,0.028,0.044,0.046,0.106,Seq Scan on T,-,25,108,25,108,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",14.619
I-0,default,2,Q12c,json,15,139.274,144.555,147.424,156.341,163.5,0.028,0.031,0.04,0.047,0.05,Seq Scan on T,-,25,498,25,498,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",152.391
I-0,default,2,Q12c,jsonb,15,14.529,14.978,15.268,15.965,16.629,0.026,0.032,0.043,0.047,0.09,Seq Scan on T,-,25,498,25,498,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",15.01
I-0,default,2,Q16,json,15,72.4,75.378,76.343,79.367,116.942,0.029,0.032,0.035,0.046,0.054,Seq Scan on T,-,1,78,1,78,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",80.342
I-0,default,2,Q16,jsonb,15,11.151,11.591,11.832,12.03,12.983,0.027,0.028,0.042,0.047,0.093,Seq Scan on T,-,1,78,1,78,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",12.106
I-0,default,2,Q17,json,15,96.915,99.064,101.654,112.288,128.741,0.033,0.04,0.048,0.053,0.078,Aggregate [Seq Scan on T],-,200,8,5000,5000,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",99.812
I-0,default,2,Q17,jsonb,15,10.98,11.466,12.227,14.104,16.962,0.027,0.031,0.049,0.056,0.126,Aggregate [Seq Scan on T],-,5000,8,5000,5000,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",12.07
I-0,default,2,Q09,json,15,51.971,53.876,57.655,58.693,73.388,0.025,0.026,0.034,0.037,0.052,Seq Scan on T,-,25,1528,25,1528,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",64.904
I-0,default,2,Q09,jsonb,15,9.948,10.245,10.84,11.277,11.846,0.023,0.025,0.03,0.034,0.046,Seq Scan on T,-,25,1528,25,1528,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",10.381
I-0,default,2,C1,jsonb,15,9.625,10.202,11.161,11.795,16.627,0.021,0.023,0.028,0.038,0.044,Seq Scan on T,-,50,12,50,12,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",11.775
I-0,default,2,C1b,jsonb,15,10.688,10.969,11.396,11.698,12.375,0.022,0.023,0.025,0.04,0.066,Seq Scan on T,-,50,30,50,30,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",11.149
I-0,default,2,C1c,jsonb,15,10.289,10.475,11.139,11.897,13.489,0.022,0.022,0.025,0.033,0.05,Seq Scan on T,-,50,3,50,3,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",11.509
I-0,default,2,C1d,jsonb,15,10.685,10.926,11.043,11.831,12.422,0.022,0.022,0.024,0.026,0.032,Seq Scan on T,-,50,225,50,225,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",12.184
